epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,85.8218,1.82714,7.20541,0.02479,0.00556,0.20837,0.0098,0.00379,1.95074,4.03288,0.0335,0.00298295,0.000994318,0.00298295,0.000994318,0.069839,0.0678504,0.00298295,0.000994318
2,166.297,1.53262,5.1222,0.01957,0.34125,0.16152,0.1163,0.04917,1.68971,3.20952,0.02703,0.00598286,0.00199429,0.00598286,0.00199429,0.0395056,0.035517,0.00598286,0.00199429
3,246.907,1.53391,3.73429,0.01984,0.31638,0.20964,0.17876,0.07844,1.73228,3.13921,0.02828,0.00898241,0.00299414,0.00898241,0.00299414,0.0091718,0.00318353,0.00898241,0.00299414
4,327.385,1.57517,3.09813,0.02057,0.46787,0.33943,0.3134,0.14569,1.72866,2.51615,0.02932,0.00899876,0.00299959,0.00899876,0.00299959,0.00899876,0.00299959,0.00899876,0.00299959
5,407.813,1.57322,2.77308,0.02055,0.37789,0.39824,0.33833,0.13898,1.80171,2.46424,0.03062,0.0089978,0.00299927,0.0089978,0.00299927,0.0089978,0.00299927,0.0089978,0.00299927
6,488.573,1.5794,2.57442,0.02084,0.43682,0.42903,0.40814,0.18377,1.73819,2.27838,0.02922,0.00899657,0.00299886,0.00899657,0.00299886,0.00899657,0.00299886,0.00899657,0.00299886
7,569.685,1.57734,2.43795,0.02073,0.4333,0.4582,0.40604,0.17799,1.80177,2.22978,0.03081,0.00899505,0.00299835,0.00899505,0.00299835,0.00899505,0.00299835,0.00899505,0.00299835
8,650.273,1.58338,2.33318,0.02096,0.45746,0.47945,0.423,0.18189,1.79757,2.17027,0.03108,0.00899327,0.00299776,0.00899327,0.00299776,0.00899327,0.00299776,0.00899327,0.00299776
9,730.709,1.56587,2.26161,0.0208,0.4712,0.51596,0.47495,0.2074,1.79989,2.08145,0.03046,0.00899121,0.00299707,0.00899121,0.00299707,0.00899121,0.00299707,0.00899121,0.00299707
10,811.343,1.57829,2.19546,0.0208,0.52669,0.50949,0.49369,0.22633,1.7809,1.96764,0.02998,0.00898887,0.00299629,0.00898887,0.00299629,0.00898887,0.00299629,0.00898887,0.00299629
11,891.783,1.58107,2.14699,0.02069,0.50677,0.50368,0.48333,0.22444,1.78732,1.99467,0.02943,0.00898627,0.00299542,0.00898627,0.00299542,0.00898627,0.00299542,0.00898627,0.00299542
12,972.045,1.57211,2.11865,0.02059,0.56104,0.48499,0.4916,0.22805,1.77386,2.01815,0.0295,0.00898338,0.00299446,0.00898338,0.00299446,0.00898338,0.00299446,0.00898338,0.00299446
13,1052.71,1.57615,2.08323,0.02051,0.50489,0.51301,0.49919,0.22985,1.76594,1.98742,0.02978,0.00898023,0.00299341,0.00898023,0.00299341,0.00898023,0.00299341,0.00898023,0.00299341
14,1133.04,1.55798,2.02593,0.02045,0.49243,0.46575,0.42324,0.17162,1.99611,2.14665,0.03386,0.0089768,0.00299227,0.0089768,0.00299227,0.0089768,0.00299227,0.0089768,0.00299227
15,1213.65,1.55484,2.02447,0.02041,0.5296,0.55753,0.52217,0.24087,1.79156,1.80354,0.02983,0.0089731,0.00299103,0.0089731,0.00299103,0.0089731,0.00299103,0.0089731,0.00299103
